2019/12/25 星期三 上午 10:34:12	正在初始化...已完成

2019/12/25 星期三 上午 10:34:12	链接12306服务器速度:84毫秒[优]

2019/12/25 星期三 上午 10:34:12	获取到:800个CDN,开始智能测速中...

2019/12/25 星期三 上午 10:34:17	开始查询2020-01-22车次，间隔：默认

2019/12/25 星期三 上午 10:34:18	[候补]一个账号只能有一个待兑现的候补，切换刷票！

2019/12/25 星期三 上午 10:34:22	结束车票查询

2019/12/25 星期三 上午 10:34:30	开始查询2020-01-23车次，间隔：默认

2019/12/25 星期三 上午 10:34:33	查询完毕,本次查询共用时:250毫秒

2019/12/25 星期三 上午 10:34:40	结束车票查询

2019/12/25 星期三 上午 10:34:45	开始查询2020-01-23车次，间隔：默认

2019/12/25 星期三 上午 11:16:56	结束车票查询

2019/12/25 星期三 上午 11:17:00	开始查询2020-01-22车次，间隔：默认

2019/12/25 星期三 下午 12:59:57	[检查状态]检测到下线,已成功登录

2019/12/25 星期三 下午 12:59:57	[检查状态]检测到下线,已成功登录

2019/12/25 星期三 下午 12:59:57	[检查状态]检测到下线,已成功登录

2019/12/25 星期三 下午 12:59:57	[检查状态]检测到下线,已成功登录

2019/12/25 星期三 下午 12:59:57	[检查状态]检测到下线,已成功登录

2019/12/25 星期三 下午 12:59:57	[检查状态]检测到下线,已成功登录

2019/12/25 星期三 下午 12:59:57	[检查状态]检测到下线,已成功登录

2019/12/25 星期三 下午 12:59:57	[检查状态]检测到下线,已成功登录

2019/12/25 星期三 下午 1:03:47	结束车票查询

2019/12/25 星期三 下午 1:03:53	开始查询2020-01-23车次，间隔：默认

2019/12/25 星期三 下午 1:04:37	结束车票查询

2019/12/25 星期三 下午 1:04:39	查询完毕,本次查询共用时:163毫秒

2019/12/25 星期三 下午 1:04:44	开始查询2020-01-22车次，间隔：默认

2019/12/25 星期三 下午 3:43:32	[检查状态]检测到下线,已成功登录

2019/12/25 星期三 下午 3:43:32	[检查状态]检测到下线,已成功登录

2019/12/25 星期三 下午 4:58:32	该用户已在其他地点登录或被踢出，正在重新登录...

2019/12/25 星期三 下午 4:58:41	[检查状态]检测到下线,已成功登录

2019/12/25 星期三 下午 6:08:33	该用户已在其他地点登录或被踢出，正在重新登录...

2019/12/25 星期三 下午 6:08:41	[检查状态]检测到下线,已成功登录

2019/12/25 星期三 下午 10:48:37	该用户已在其他地点登录或被踢出，正在重新登录...

2019/12/25 星期三 下午 11:30:00	当前时间：23:30:00，23:30-06:00为12306维护时间！

2019/12/25 星期三 下午 11:30:00	正在从[1]号服务器获取时间...

2019/12/25 星期三 下午 11:30:00	已设置定时抢票,现在不抢票,明天 06:00:00 开始抢票！

2019/12/25 星期三 下午 11:30:00	[服务器-1]：2019-12-25 23:29:58

2019/12/25 星期三 下午 11:30:00	[本地时间]：2019-12-25 23:30:00

2019/12/25 星期三 下午 11:29:58	[设置完毕]已同步时间

